Maturity Date,EURUSD,EURSEK,EURJPY,EURCHF,EURMXN,EURGBP,EURCAD,EURNOK,EURAUD,EURNZD,EURZAR,EURSGD,EURTHB,EURDKK,EURSAR,EURPLN,EURHKD,EURCNY,EURBRL,EURHUF,EURINR,EURPKR,EURRUB,EURTRY,EURARS,EURCLP,EURCOP,EURCZK,EUREGP,EURJOD,EURKRW,EURKZT,EURPEN,EURUAH,EURUYU,EURAED,EURHRK,EURBYR,EURIDR,EURKES,EURMYR,EURNGN,EURPHP,EURTTD,EURTWD,EURVND,EUREUR
30/12/2016,1.05305,9.58212317,123.0225663,1.07395304,21.81419401,0.85767226,1.41987997,9.08129259,1.45639997,1.51376411,14.34712177,1.52276295,37.69129212,7.43411178,3.94977994,4.4208092,8.16661336,7.34312826,3.42736184,310.8287685,71.57054325,110.2806613,63.77718346,3.70905271,16.75929075,703.4374,"3,161.26",27.02231605,19.0917965,0.74713898,"1,269.40",351.29748,3.53619455,28.537655,30.63848975,3.86774735,7.56153083,"21,166.31",14148.25328,107.9902775,4.7239823,320.864335,52.18336623,7.07123075,33.94506675,23973.7363,1
3/01/2017,1.0478,9.54708209,123.184607,1.07148028,21.68196823,0.852355,1.40578087,9.04990099,1.44943976,1.50427105,14.402011,1.51627138,37.5222419,7.43476968,3.93003585,4.41160473,8.12720831,7.29572662,3.44275646,309.221497,71.35565151,109.699421,63.9498535,3.7217856,16.701932,702.3722979,"3,145.50",27.0206664,18.938985,0.7434141,"1,260.08",349.420344,3.5300382,28.39538,30.747691,3.8485694,7.55317108,"21,060.78","14,108.63",107.55667,4.7072415,330.057,52.138528,7.06830163,33.7747852,"23,834.83",1
4/01/2017,1.0413,9.53492378,122.8057155,1.06998782,21.9120759,0.84938211,1.39929894,9.01088955,1.43766395,1.5034652,14.29236315,1.50743795,37.35715815,7.43498613,3.90565598,4.38548702,8.076479,7.22235267,3.4000007,309.016188,70.975008,109.1334465,63.42297975,3.73384148,16.598322,701.52381,"3,103.18",27.021735,18.8214975,0.73776105,"1,256.19",348.4554255,3.53432839,28.21923,29.9529945,3.82474696,7.56551309,"20,930.13","14,024.23",107.305965,4.68532935,328.0095,51.7786425,6.997536,33.60743685,"23,666.15",1
5/01/2017,1.0566,9.56709036,122.327865,1.0735056,22.64330781,0.85499272,1.40110443,9.03007341,1.44344262,1.50523542,14.279949,1.51283988,37.72062,7.4347659,3.96309528,4.37120703,8.1934047,7.1880498,3.39828975,307.983051,71.65908747,110.705265,63.6680745,3.76286958,16.9864299,709.332561,"3,138.52",27.0204318,19.002951,0.7496577,"1,251.75",351.356481,3.5760627,28.15839,30.181779,3.88099746,7.57381446,"21,237.66","14,079.20",109.41093,4.738851,321.7347,52.2462285,7.100352,33.647427,"23,955.76",1
6/01/2017,1.05805,9.54313488,122.9507003,1.07058789,22.59941898,0.85471363,1.40355623,8.99596432,1.44562099,1.50923615,14.44804307,1.51671468,37.79090088,7.43454703,3.96853394,4.36826523,8.20523065,7.23452268,3.38475485,308.0036453,71.926239,110.8783498,62.7317845,3.83347386,16.88489093,702.5452,"3,100.63",27.02153895,19.12425375,0.74946972,"1,262.86",349.8389423,3.56430594,27.84258575,30.28668125,3.88632346,7.57823022,"21,266.81","14,130.26",109.82559,4.73424473,322.176225,52.4052165,7.110096,33.81369093,"23,882.83",1
9/01/2017,1.05315,9.55617778,123.5924183,1.07268593,22.41914126,0.86437131,1.39563438,8.99695514,1.43951613,1.51260323,14.51819933,1.51806307,37.6711755,7.43434382,3.95036565,4.35614435,8.1678628,7.24061688,3.39551357,307.5198,71.7932355,110.3437913,62.95204125,3.87401228,16.6503015,702.766995,"3,085.20",27.02066955,19.08834375,0.74615678,"1,271.37",347.9976203,3.55701413,28.40872125,30.17801325,3.86821995,7.57625579,"21,168.32","14,088.51",109.31697,4.71547913,332.7954,52.27310025,7.077168,33.82191225,"23,782.76",1
10/01/2017,1.0601,9.57450517,122.6270675,1.07404032,22.68242965,0.87243848,1.40134619,9.07387294,1.43957089,1.50936143,14.44471058,1.5201304,37.72100825,7.43395125,3.97617008,4.38176434,8.22208259,7.28951263,3.38903369,308.605711,72.17738555,111.0719775,63.69091401,3.97664712,16.8386284,711.3748045,"3,103.79",27.021949,19.5429435,0.75214095,"1,267.24",352.917891,3.58695436,28.5961975,30.3241605,3.8937473,7.56784188,"21,308.01","14,115.23",109.985375,4.74341745,323.595525,52.485551,7.123872,33.827791,"23,929.11",1
11/01/2017,1.05565,9.57506219,122.5113495,1.07312101,22.9793892,0.86841889,1.39694165,9.07637314,1.42848444,1.50785602,14.46298561,1.51543836,37.51305058,7.43404565,3.95947924,4.36822692,8.18614349,7.27664823,3.37332958,309.3001718,72.02694672,110.6057288,63.5395735,4.05644069,16.71621775,709.0273225,"3,117.86",27.01936175,19.740655,0.74898368,"1,260.76",352.5712653,3.57812568,28.6608975,30.29187675,3.87740245,7.56278216,"21,218.57","14,055.98",109.7876,4.72033898,322.2371625,52.28687233,7.093968,33.68631933,"23,828.13",1
12/01/2017,1.0634,9.5450784,121.610424,1.07424668,23.2969672,0.86886184,1.39587201,9.05463832,1.42175279,1.4989076,14.55347972,1.51763131,37.5991655,7.43433574,3.98801585,4.37397688,8.24555043,7.32586894,3.4002215,307.790496,72.369687,111.449637,63.49944224,4.14981216,16.838939,713.06287,"3,157.23",27.026311,20.36411,0.7539506,"1,258.35",353.202993,3.5958871,28.961699,30.514263,3.90565552,7.55566968,"21,374.34","14,135.24",110.402188,4.7443591,323.8053,52.6462755,7.146048,33.672561,"24,003.60",1
13/01/2017,1.0632,9.50351952,121.986252,1.07244984,23.1905184,0.87448594,1.39805484,9.0512874,1.41864034,1.493678,14.3707428,1.51702692,37.6463172,7.4352234,3.98769108,4.37086836,8.245116,7.26101808,3.38953476,307.42428,72.52135044,111.428676,63.09470028,4.01953392,16.8123816,703.49286,"3,108.75",27.0206964,20.12106,0.75412776,"1,247.61",353.019612,3.5739468,29.004096,30.625476,3.90545256,7.5351642,"21,370.32","14,156.51",110.51964,4.7450616,334.908,52.7458836,7.144704,33.525354,"23,999.08",1
16/01/2017,1.0618,9.4760341,120.827531,1.07231182,22.83799075,0.88262677,1.39419649,9.03618345,1.41866524,1.49265481,14.37804616,1.51630349,37.6041779,7.43557304,3.98201545,4.38135843,8.23441827,7.28224912,3.42037634,307.083178,72.372288,111.27664,63.27871426,3.9907753,16.824221,701.419771,"3,127.00",27.0201555,20.01493,0.7533471,"1,255.17",353.834232,3.5697716,29.30568,30.468351,3.89972595,7.5260384,"21,342.18","14,181.40",110.4272,4.7425297,335.5288,52.9206429,7.135296,33.6043773,"23,966.42",1
17/01/2017,1.0649,9.50370005,120.738362,1.07283351,22.9688281,0.8793559,1.39587092,9.04909424,1.41590214,1.48989157,14.42540163,1.51561893,37.64474745,7.43624995,3.99390745,4.37657926,8.25899169,7.28231865,3.45219282,307.8146695,72.47975625,111.6068445,63.42384665,4.0306465,16.9052875,705.3631375,"3,133.92",27.0207726,20.2064775,0.75448165,"1,248.57",354.0100315,3.588713,29.540326,30.6318485,3.91132446,7.53081307,"21,404.49","14,213.75",110.696355,4.7547785,336.5084,53.04746105,7.156128,33.58534865,"24,035.86",1
18/01/2017,1.06795,9.52280335,120.9720363,1.07248879,23.00892935,0.8648769,1.39634463,9.05258497,1.41590984,1.48377909,14.43948496,1.51670259,37.68314973,7.43538829,4.00507949,4.36337671,8.2830736,7.28042874,3.42972143,307.3613498,72.56768308,111.9264998,63.37482288,4.03305978,16.9782691,701.5310153,"3,117.33",27.02020295,20.24299225,0.75664258,"1,246.08",353.171065,3.56983647,29.47542,30.67686375,3.92242016,7.53048923,"21,465.80","14,244.85",111.0668,4.74757173,337.4722,53.13852213,7.176624,33.65430835,"24,106.84",1
